number,source,dataset,path,format,rows,sha256,source_version,evidence_class
1,core_product,account,raw/core_product/01_account.csv,csv,2000,9b232e7e624dbdcd53679f16e1f474c745b51036f2a48817768a9a2dc33b4921,original_raw_package,Original full raw package; unchanged by correction evidence
2,core_product,saas_user,raw/core_product/02_saas_user.csv,csv,2700,4a2ed65d94b7cbb748b0d9205692147444c8e6c56807a74994185122a69eb713,original_raw_package,Original full raw package; unchanged by correction evidence
3,core_product,user_account_membership,raw/core_product/03_user_account_membership.csv,csv,3100,008ae89ef03f6e3351f2dcddbacbc1d7b490e6e11fccc8a880f5de614c861539,original_raw_package,Original full raw package; unchanged by correction evidence
4,core_product,membership_period,raw/core_product/04_membership_period.csv,csv,3100,b3304845af77098d8e336b9bf8c55c11a3c1b2179f4ad21095a152379b6e3754,original_raw_package,Original full raw package; unchanged by correction evidence
5,core_product,role_assignment_period,raw/core_product/05_role_assignment_period.csv,csv,3146,0898bf8acc274b085c38f01546e26c6ae23af8dd8d1cea7e2f5931522a517d6a,original_raw_package,Original full raw package; unchanged by correction evidence
6,core_product,account_lifecycle_period,raw/core_product/06_account_lifecycle_period.csv,csv,2080,5b90ecd4d264ed3c4d5044c05e2855780762104270aa8f810386e3dcc3805999,corrected_override,Part 6 v1.1 correction patch
7,core_product,account_lifecycle_events,raw/core_product/07_account_lifecycle_events.csv,csv,2080,412bf129318fa28abf12715381b23b4de2ecdca451580ba5970bfb7cff1e22b4,original_raw_package,Original full raw package; unchanged by correction evidence
8,core_product,membership_lifecycle_events,raw/core_product/08_membership_lifecycle_events.csv,csv,3100,928c38f66c17acdb85927d6d14e193f3adb3a9121355fbb01a06acf049b11e40,original_raw_package,Original full raw package; unchanged by correction evidence
9,core_product,website,raw/core_product/09_website.csv,csv,3271,d5008cae4df51ec54f9c10d6357fd00aee37c28b3235989f8b663480cabbbd7b,original_raw_package,Original full raw package; unchanged by correction evidence
10,core_product,page,raw/core_product/10_page.csv,csv,14500,22c5b830848fab76c5d97a9db8eae15030651045239253131cda2095067ebd49,original_raw_package,Original full raw package; unchanged by correction evidence
11,core_product,content_item,raw/core_product/11_content_item.csv,csv,6500,f6b9ff5b432cdc30786b67e4e4c4a385313f1c4ab37877b974aebf69e98ed667,original_raw_package,Original full raw package; unchanged by correction evidence
12,core_product,page_access_period,raw/core_product/12_page_access_period.csv,csv,16331,d521e31bac4422bb21968f991163f643312f85b0b19365ffc8508bcb9f10adbf,corrected_override,Part 6 v1.1 correction patch
13,core_product,content_item_access_period,raw/core_product/13_content_item_access_period.csv,csv,7285,3ceda64dedd1184a4ecc1e2edce2b1eb5a3cecfe45daa9a68943f28382e6b0a2,corrected_override,Part 6 v1.1 correction patch
14,core_product,website_lifecycle_events,raw/core_product/14_website_lifecycle_events.csv,csv,6147,85fb0a7615e8f0e0672c85eec77d296713563398386409da60c1d9a9c7eb4478,original_raw_package,Original full raw package; unchanged by correction evidence
15,core_product,website_live_period,raw/core_product/15_website_live_period.csv,csv,2497,3870d0be849116e6a72a7028acabbba27bf6e78e2c34716cb5c25433f46e8ae1,original_raw_package,Original full raw package; unchanged by correction evidence
16,core_product,website_address_history,raw/core_product/16_website_address_history.csv,csv,4036,2df1bc64ffc486c7abfc8e6f3d8b78498d292d0b374250555634ecf1d323fc62,corrected_override,Part 8 website-address correction
17,core_product,feature,raw/core_product/17_feature.csv,csv,8,866530506a613f1994ad0fba71b80268fbf54f4a61d0c227dc0578ed4f1f2967,original_raw_package,Original full raw package; unchanged by correction evidence
18,core_product,plan_feature_entitlement_history,raw/core_product/18_plan_feature_entitlement_history.csv,csv,17,35a1e2590f38de18aee6fee04e78600fcb105829c9893615c9637be42ee782e8,original_raw_package,Original full raw package; unchanged by correction evidence
19,core_product,website_feature_enablement_period,raw/core_product/19_website_feature_enablement_period.csv,csv,4926,f1c20d3ebfab0518f352056e57e71659edd052dd22fb759761212b6584d2855e,corrected_override,Part 8 feature-enablement correction
20,core_product,feature_enablement_lifecycle_events,raw/core_product/20_feature_enablement_lifecycle_events.csv,csv,5727,76d98bc3a57198e9a2800a15f32d305fae78665bad6fe2b6bb5f113c7479c6a3,corrected_override,Part 8 feature-enablement correction
21,core_product,website_member,raw/core_product/21_website_member.csv,csv,15000,7bcea3ebde96688803a65d9e4cfadd9464806639609c7779190708cc85e5b172,original_raw_package,Original full raw package; unchanged by correction evidence
22,core_product,membership_invitation,raw/core_product/22_membership_invitation.csv,csv,5755,a1a6e96a184bdacb932fb16b73e63c793c7630cb1613a424081ad1bc4d133eaa,original_raw_package,Original full raw package; unchanged by correction evidence
