"account_id","first_paid_at","horizon_at","split_name","days_until_first_paid","total_product_events","product_access_count","locked_attempt_count","feature_used_count","analytics_view_count","other_event_count","websites_created_before_paid","live_websites_at_first_paid","target_m6"
"ACC_000020","2024-03-22 08:55:59+02","2024-09-22 09:55:59+03","TRAIN","16.0272337962962963","9","2","7","0","0","0","0","0",1
"ACC_000006","2024-03-26 00:54:02+02","2024-09-26 01:54:02+03","TRAIN","40.8596180555555556","17","7","10","0","0","0","0","0",1
"ACC_000026","2024-04-06 18:42:59+03","2024-10-06 18:42:59+03","TRAIN","23.1415856481481481","14","2","11","0","0","1","0","0",1
"ACC_000027","2024-04-08 13:42:00+03","2024-10-08 13:42:00+03","TRAIN","20.2649421296296296","15","4","11","0","0","0","0","0",1
"ACC_000007","2024-04-11 19:55:05+03","2024-10-11 19:55:05+03","TRAIN","55.6146643518518519","14","6","8","0","0","0","0","0",1
"ACC_000009","2024-04-28 17:28:02+03","2024-10-28 16:28:02+02","TRAIN","71.3456712962962963","21","13","8","0","0","0","1","1",1
"ACC_000051","2024-05-09 07:51:35+03","2024-11-09 06:51:35+02","TRAIN","21.9011226851851852","10","4","6","0","0","0","0","0",1
"ACC_000031","2024-05-11 03:53:10+03","2024-11-11 02:53:10+02","TRAIN","50.5765972222222222","20","11","8","1","0","0","1","1",1
"ACC_000056","2024-05-12 05:48:46+03","2024-11-12 04:48:46+02","TRAIN","21.2106250000000000","11","3","8","0","0","0","0","0",1
"ACC_000064","2024-05-13 06:13:15+03","2024-11-13 05:13:15+02","TRAIN","14.4487731481481481","12","2","10","0","0","0","0","0",1
"ACC_000022","2024-05-13 23:48:47+03","2024-11-13 22:48:47+02","TRAIN","67.8302083333333333","13","6","7","0","0","0","1","1",1
"ACC_000001","2024-05-15 02:30:37+03","2024-11-15 01:30:37+02","TRAIN","113.7231134259259259","24","17","7","0","0","0","0","0",1
"ACC_000030","2024-05-18 13:21:18+03","2024-11-18 12:21:18+02","TRAIN","55.7431250000000000","24","8","16","0","0","0","0","0",1
"ACC_000034","2024-05-26 15:09:33+03","2024-11-26 14:09:33+02","TRAIN","59.2023611111111111","18","5","13","0","0","0","0","0",1
"ACC_000013","2024-05-29 02:20:47+03","2024-11-29 01:20:47+02","TRAIN","92.6010300925925926","25","13","12","0","0","0","0","0",1
"ACC_000023","2024-05-31 00:10:27+03","2024-11-30 23:10:27+02","TRAIN","80.7516782407407407","24","14","10","0","0","0","0","0",0
"ACC_000014","2024-06-04 04:51:21+03","2024-12-04 03:51:21+02","TRAIN","98.3123495370370370","13","7","6","0","0","0","1","0",1
